r,l,t
9835.05548453331,743,4027.1098086833954
9823.444447815418,795,4030.0679914951324
9825.388861358166,786,4032.949997663498
4801.644173324108,4500,4046.9185523986816
7413.048051118851,4500,4060.85431933403
9825.333312988281,786,4063.213837623596
9823.499960839748,795,4065.680265903473
5095.699820518494,4500,4078.4311730861664
9827.055559039116,779,4080.8475461006165
9835.555544674397,740,4083.1614711284637
8018.2335414886475,4500,4096.2920026779175
9825.388859927654,786,4098.825488090515
9823.388902008533,795,4101.406038284302
9823.444443643093,795,4104.344544649124
5003.688858747482,4500,4117.517445802689
5084.317020833492,4500,4129.892331600189
9832.277757406235,755,4132.259305715561
9828.49998730421,772,4134.601376533508
9823.388878881931,795,4136.982486009598
9835.555547773838,740,4139.167302131653
9825.38888078928,786,4141.493356704712
8546.585140168667,4500,4154.372557640076
5094.751256585121,4500,4167.455631971359
4874.683798253536,4500,4180.271281719208
9835.944402098656,739,4182.404264211655
4998.9460247159,4500,4194.611525058746
9821.888874948025,802,4196.876912117004
4863.3010039925575,4500,4210.171954870224
9835.888857066631,739,4212.370191335678
9823.33334493637,795,4214.770307302475
4850.02106243372,4500,4227.771079540253
9827.111083328724,778,4230.495446205139
9856.27773141861,647,4232.439429998398
4767.495769619942,4500,4244.403176307678
9831.388869345188,759,4246.534408330917
9823.444399178028,795,4249.148576498032
9826.888872861862,779,4251.795862913132
9832.055531263351,756,4254.554340600967
9822.555507063866,799,4257.970068454742
9835.833344817162,739,4260.3460013866425
4819.666932582855,4500,4278.122286558151
6685.49745875597,4500,4293.215018033981
8431.808581888676,4500,4306.31044793129
4814.924103021622,4500,4319.193843841553
9826.833330512047,780,4321.5720744133
5103.288349747658,4500,4334.120908021927
7410.202343821526,4500,4347.040512084961
9821.944390654564,802,4349.380220890045
9831.722186744213,758,4351.569498300552
8305.649224460125,4500,4364.176963806152
9822.999968230724,797,4366.574152946472
9832.055488049984,756,4368.873814105988
9856.444412767887,646,4370.830229043961
9823.555551469326,794,4373.223226308823
9822.999965012074,797,4376.409508705139
9827.222186028957,778,4378.761376857758
9835.888896942139,739,4381.004457235336
5093.802686095238,4500,4393.811073541641
7410.202344238758,4500,4408.156863927841
7475.6534423828125,4500,4422.525262117386
9832.055509865284,756,4424.762363195419
4824.4097687006,4500,4437.751134157181
